title,brand,model,storage_raw,ram_raw,condition,warranty,district,posted_date,price_raw
Samsung Galaxy A32 64GB,Samsung,Galaxy A32,64GB,3GB RAM,Used,No,Colombo,"Aug 26, 2025","Rs. 204,500"
Samsung Galaxy A12 128GB,Samsung,Galaxy A12,128GB,4GB RAM,Like New,No,Colombo,1 week ago,"Rs. 230,600"
Oppo Oppo A16 64GB,Oppo,Oppo A16,64GB,3GB RAM,Like New,No,Unknown,"Jan 23, 2026","Rs. 22,800"
Samsung Galaxy M32 512GB,Samsung,Galaxy M32,512GB,6GB RAM,New,No,Mullaitivu,"Nov 24, 2025","Rs. 422,800"
Samsung Galaxy M12 64GB,Samsung,Galaxy M12,64GB,6GB RAM,Used,No,Kandy,1 week ago,"Rs. 77,500"
Redmi Redmi 9C 64GB,Redmi,Redmi 9C,64GB,4GB RAM,Like New,No,Nuwara Eliya,Yesterday,"Rs. 35,000"
Apple iPhone SE 256GB,Apple,iPhone SE,256GB,6GB RAM,Used,No,Hambantota,"Nov 24, 2025","Rs. 361,800"
Apple iPhone 12 Pro 64GB (Warranty),Apple,iPhone 12 Pro,64GB,4GB RAM,New,Yes,Colombo,3 weeks ago,"Rs. 497,200"
Samsung Galaxy A12 64GB (Warranty),Samsung,Galaxy A12,64GB,3GB RAM,Like New,Yes,Colombo,"Nov 24, 2025","Rs. 107,200"
Oneplus OnePlus 9 256GB,Oneplus,OnePlus 9,256GB,6GB RAM,Like New,No,Ampara,"Nov 24, 2025","Rs. 79,100"
Motorola Moto G60 64GB,Motorola,Moto G60,64GB,4GB RAM,Used,No,Gampaha,"Jan 23, 2026","Rs. 14,500"
Apple iPhone X 128GB,Apple,iPhone X,128GB,4GB RAM,Like New,No,Kegalle,Today,"Rs. 301,600"
Samsung Galaxy M12 128GB,Samsung,Galaxy M12,128GB,6GB RAM,Like New,No,Colombo,2 days ago,"Rs. 75,800"
Oneplus OnePlus Nord CE 128GB (Warranty),Oneplus,OnePlus Nord CE,128GB,4GB RAM,Used,Yes,Colombo,Today,"Rs. 69,000"
Apple iPhone 14 Pro 128GB (Warranty),Apple,iPhone 14 Pro,128GB,6GB RAM,Used,Yes,Gampaha,2 days ago,"Rs. 439,700"
Oppo Oppo A92 128GB,Oppo,Oppo A92,128GB,6GB RAM,Used,No,Vavuniya,3 days ago,"Rs. 79,800"
Vivo Vivo Y53s 128GB (Warranty),Vivo,Vivo Y53s,128GB,3GB RAM,Used,Yes,Colombo,1 week ago,"Rs. 32,200"
Vivo Vivo Y33s 64GB,Vivo,Vivo Y33s,64GB,4GB RAM,Used,No,Batticaloa,1 week ago,"Rs. 76,100"
Samsung Galaxy S23 128GB,Samsung,Galaxy S23,128GB,4GB RAM,Used,No,Colombo,"Dec 24, 2025","Rs. 150,300"
Realme Realme GT Neo 2 64GB,Realme,Realme GT Neo 2,64GB,3GB RAM,Used,No,Monaragala,2 weeks ago,"Rs. 42,300"
Sony Sony Xperia 1 III 256GB,Sony,Sony Xperia 1 III,256GB,12GB RAM,Like New,No,Colombo,"Nov 24, 2025","Rs. 269,400"
Sony Sony Xperia 10 128GB,Sony,Sony Xperia 10,128GB,4GB RAM,Like New,No,Matara,3 days ago,"Rs. 182,500"
Apple iPhone 12 256GB (Warranty),Apple,iPhone 12,256GB,6GB RAM,Like New,Yes,Colombo,2 weeks ago,"Rs. 151,200"
Apple iPhone XR 256GB,Apple,iPhone XR,256GB,8GB RAM,Like New,No,Colombo,3 weeks ago,"Rs. 543,800"
Huawei Huawei Mate 30 128GB (Warranty),Huawei,Huawei Mate 30,128GB,4GB RAM,Used,Yes,Colombo,"Dec 24, 2025","Rs. 111,600"
Apple iPhone 14 Pro 256GB (Warranty),Apple,iPhone 14 Pro,256GB,12GB RAM,Used,Yes,Kegalle,3 weeks ago,"Rs. 387,300"
Other Tecno Spark 8 256GB,Other,Tecno Spark 8,256GB,6GB RAM,Used,No,Colombo,4 days ago,"Rs. 49,700"
Xiaomi Redmi Note 11 128GB,Xiaomi,Redmi Note 11,128GB,4GB RAM,Used,No,Ampara,3 days ago,"Rs. 113,000"
Apple iPhone 12 128GB,Apple,iPhone 12,128GB,6GB RAM,Used,No,Colombo,2 days ago,"Rs. 147,000"
Apple iPhone 13 Pro 128GB,Apple,iPhone 13 Pro,128GB,4GB RAM,New,No,Colombo,"Jan 23, 2026","Rs. 143,700"
Apple iPhone 12 256GB,Apple,iPhone 12,256GB,6GB RAM,Used,No,Kalutara,4 days ago,"Rs. 369,300"
Vivo Vivo Y21s 128GB (Warranty),Vivo,Vivo Y21s,128GB,3GB RAM,Used,Yes,Colombo,"Nov 24, 2025","Rs. 30,100"
Redmi Redmi 9A 64GB (Warranty),Redmi,Redmi 9A,64GB,3GB RAM,Used,Yes,Colombo,"Dec 24, 2025","Rs. 76,400"
Realme Realme GT Neo 2 64GB,Realme,Realme GT Neo 2,64GB,6GB RAM,New,No,Unknown,"Jan 23, 2026","Rs. 72,000"
Apple iPhone 13 Pro 128GB (Warranty),Apple,iPhone 13 Pro,128GB,6GB RAM,Used,Yes,Trincomalee,2 weeks ago,"Rs. 152,200"
Redmi Redmi 9A 256GB,Redmi,Redmi 9A,256GB,8GB RAM,New,No,Colombo,"Nov 24, 2025","Rs. 68,100"
Motorola Moto E40 32GB,Motorola,Moto E40,32GB,2GB RAM,New,No,Gampaha,2 weeks ago,"Rs. 21,600"
Apple iPhone SE 128GB (Warranty),Apple,iPhone SE,128GB,4GB RAM,Used,Yes,Badulla,3 days ago,"Rs. 124,400"
Nokia Nokia 3.4 128GB,Nokia,Nokia 3.4,128GB,6GB RAM,Used,No,Galle,"Jan 23, 2026","Rs. 24,000"
Apple iPhone 14 Pro 128GB,Apple,iPhone 14 Pro,128GB,4GB RAM,Like New,No,Ratnapura,"Dec 24, 2025","Rs. 418,300"
Apple iPhone 12 128GB,Apple,iPhone 12,128GB,3GB RAM,Used,No,Kalutara,3 weeks ago,"Rs. 112,700"
Huawei Huawei Mate 30 128GB,Huawei,Huawei Mate 30,128GB,6GB RAM,Used,No,Colombo,"Feb 22, 2025","Rs. 70,300"
Apple iPhone 14 512GB,Apple,iPhone 14,512GB,8GB RAM,Like New,No,Gampaha,Today,"Rs. 210,100"
Huawei Huawei Mate 30 64GB (Warranty),Huawei,Huawei Mate 30,64GB,4GB RAM,New,Yes,Colombo,"Nov 24, 2025","Rs. 226,600"
Samsung Galaxy A12 512GB,Samsung,Galaxy A12,512GB,8GB RAM,Used,No,Colombo,Yesterday,"Rs. 158,600"
Samsung Galaxy M32 128GB (Warranty),Samsung,Galaxy M32,128GB,4GB RAM,Used,Yes,Colombo,Yesterday,"Rs. 240,600"
Samsung Galaxy A53 128GB,Samsung,Galaxy A53,128GB,4GB RAM,Used,No,Colombo,"Dec 24, 2025","Rs. 119,600"
Oppo Oppo Reno 5 128GB,Oppo,Oppo Reno 5,128GB,4GB RAM,Like New,No,Jaffna,"Jan 23, 2026","Rs. 39,200"
Vivo Vivo V21 128GB (Warranty),Vivo,Vivo V21,128GB,3GB RAM,Like New,Yes,Kandy,1 week ago,"Rs. 107,500"
Oppo Oppo A92 128GB (Warranty),Oppo,Oppo A92,128GB,3GB RAM,Used,Yes,Colombo,2 weeks ago,"Rs. 117,400"
Other Tecno Spark 8 64GB,Other,Tecno Spark 8,64GB,6GB RAM,Used,No,Colombo,4 days ago,"Rs. 39,000"
Oneplus OnePlus Nord CE 256GB,Oneplus,OnePlus Nord CE,256GB,6GB RAM,Like New,No,Polonnaruwa,"Dec 24, 2025","Rs. 220,700"
Samsung Galaxy A23 128GB (Warranty),Samsung,Galaxy A23,128GB,8GB RAM,Used,Yes,Kandy,2 weeks ago,"Rs. 189,500"
Apple iPhone 14 Pro 128GB,Apple,iPhone 14 Pro,128GB,6GB RAM,Used,No,Gampaha,"Jan 23, 2026","Rs. 437,400"
Realme Realme 8 32GB,Realme,Realme 8,32GB,2GB RAM,New,No,Jaffna,"Jan 23, 2026","Rs. 53,700"
Redmi Redmi 12 128GB,Redmi,Redmi 12,128GB,3GB RAM,Used,No,Gampaha,2 weeks ago,"Rs. 43,600"
Apple iPhone SE 128GB (Warranty),Apple,iPhone SE,128GB,6GB RAM,Like New,Yes,Colombo,2 weeks ago,"Rs. 229,500"
Samsung Galaxy M12 64GB,Samsung,Galaxy M12,64GB,6GB RAM,Like New,No,Gampaha,"Aug 26, 2025","Rs. 151,100"
Samsung Galaxy A23 256GB (Warranty),Samsung,Galaxy A23,256GB,8GB RAM,Used,Yes,Unknown,6 days ago,"Rs. 334,600"
Apple iPhone XS Max 128GB,Apple,iPhone XS Max,128GB,3GB RAM,New,No,Vavuniya,2 weeks ago,"Rs. 468,200"
Apple iPhone 13 64GB,Apple,iPhone 13,64GB,6GB RAM,Used,No,Trincomalee,"Nov 24, 2025","Rs. 265,800"
Samsung Galaxy A23 64GB,Samsung,Galaxy A23,64GB,4GB RAM,Used,No,Colombo,"Nov 24, 2025","Rs. 55,000"
Other Tecno Spark 8 8GB,Other,Tecno Spark 8,8GB,3GB RAM,New,No,Trincomalee,4 days ago,"Rs. 36,900"
Samsung Galaxy A53 128GB (Warranty),Samsung,Galaxy A53,128GB,4GB RAM,Like New,Yes,Trincomalee,"Dec 24, 2025","Rs. 141,100"
Redmi Redmi 12 256GB,Redmi,Redmi 12,256GB,6GB RAM,New,No,Colombo,6 days ago,"Rs. 47,000"
Apple iPhone 14 256GB (Warranty),Apple,iPhone 14,256GB,6GB RAM,Used,Yes,Kalutara,3 weeks ago,"Rs. 350,100"
Motorola Moto E40 128GB,Motorola,Moto E40,128GB,3GB RAM,Used,No,Kurunegala,"Jan 23, 2026","Rs. 16,000"
Other Itel A49 32GB,Other,Itel A49,32GB,3GB RAM,Used,No,Jaffna,"Aug 26, 2025","Rs. 13,500"
Xiaomi Redmi 10C 64GB,Xiaomi,Redmi 10C,64GB,4GB RAM,Like New,No,Colombo,Yesterday,"Rs. 121,800"
Apple iPhone 13 Pro 128GB,Apple,iPhone 13 Pro,128GB,8GB RAM,Used,No,Gampaha,"Dec 24, 2025","Rs. 236,000"
Apple iPhone 12 Pro 128GB (Warranty),Apple,iPhone 12 Pro,128GB,6GB RAM,Like New,Yes,Colombo,"Nov 24, 2025","Rs. 381,200"
Apple iPhone 13 512GB,Apple,iPhone 13,512GB,8GB RAM,Like New,No,Jaffna,"Nov 24, 2025","Rs. 425,200"
Xiaomi Mi 11 Lite 256GB (Warranty),Xiaomi,Mi 11 Lite,256GB,12GB RAM,Used,Yes,Kilinochchi,6 days ago,"Rs. 82,900"
Redmi Redmi 12 64GB,Redmi,Redmi 12,64GB,3GB RAM,Used,No,Batticaloa,2 weeks ago,"Rs. 17,000"
Realme Realme 8 32GB,Realme,Realme 8,32GB,3GB RAM,Like New,No,Kurunegala,1 week ago,"Rs. 30,400"
Apple iPhone 13 Pro 256GB,Apple,iPhone 13 Pro,256GB,8GB RAM,Used,No,Ratnapura,"Aug 26, 2025","Rs. 419,500"
Huawei Huawei Nova 5T 64GB (Warranty),Huawei,Huawei Nova 5T,64GB,4GB RAM,Used,Yes,Kandy,"Feb 22, 2025","Rs. 77,300"
Apple iPhone 12 Pro 256GB,Apple,iPhone 12 Pro,256GB,8GB RAM,Used,No,Colombo,"Nov 24, 2025","Rs. 312,600"
Apple iPhone 14 Pro 64GB,Apple,iPhone 14 Pro,64GB,4GB RAM,Used,No,Colombo,3 weeks ago,"Rs. 324,600"
Samsung Galaxy A72 64GB,Samsung,Galaxy A72,64GB,6GB RAM,Used,No,Gampaha,"Jan 23, 2026","Rs. 114,600"
Nokia Nokia G20 128GB,Nokia,Nokia G20,128GB,8GB RAM,Used,No,Ampara,3 days ago,"Rs. 54,900"
Nokia Nokia 3.4 64GB (Warranty),Nokia,Nokia 3.4,64GB,3GB RAM,Like New,Yes,Ampara,3 weeks ago,"Rs. 11,800"
Motorola Moto G30 64GB,Motorola,Moto G30,64GB,8GB RAM,Used,No,Ratnapura,"Nov 24, 2025","Rs. 27,100"
Apple iPhone 12 Pro 128GB,Apple,iPhone 12 Pro,128GB,3GB RAM,Used,No,Kurunegala,"Nov 24, 2025","Rs. 340,100"
Xiaomi Poco X3 128GB,Xiaomi,Poco X3,128GB,6GB RAM,New,No,Jaffna,5 days ago,"Rs. 75,000"
Samsung Galaxy A32 128GB,Samsung,Galaxy A32,128GB,6GB RAM,Used,No,Monaragala,"Dec 24, 2025","Rs. 44,900"
Oppo Oppo Reno 5 128GB,Oppo,Oppo Reno 5,128GB,3GB RAM,Used,No,Kurunegala,3 weeks ago,"Rs. 95,400"
Vivo Vivo Y33s 128GB,Vivo,Vivo Y33s,128GB,6GB RAM,Like New,No,Colombo,"Aug 26, 2025","Rs. 58,000"
Samsung Galaxy S22 64GB,Samsung,Galaxy S22,64GB,4GB RAM,Used,No,Polonnaruwa,"Dec 24, 2025","Rs. 58,400"
Motorola Moto G30 64GB,Motorola,Moto G30,64GB,6GB RAM,Used,No,Anuradhapura,2 weeks ago,"Rs. 28,400"
Huawei Huawei P30 Pro 64GB,Huawei,Huawei P30 Pro,64GB,4GB RAM,Used,No,Gampaha,Today,"Rs. 77,100"
Sony Sony Xperia 10 128GB,Sony,Sony Xperia 10,128GB,4GB RAM,Used,No,Kandy,2 weeks ago,"Rs. 122,700"
Samsung Galaxy A12 256GB,Samsung,Galaxy A12,256GB,8GB RAM,Used,No,Gampaha,"Aug 26, 2025","Rs. 189,600"
Samsung Galaxy S22 64GB,Samsung,Galaxy S22,64GB,6GB RAM,Like New,No,Colombo,"Nov 24, 2025","Rs. 132,400"
Vivo Vivo Y20 64GB (Warranty),Vivo,Vivo Y20,64GB,8GB RAM,Used,Yes,Monaragala,"Dec 24, 2025","Rs. 35,000"
Oppo Oppo A74 64GB,Oppo,Oppo A74,64GB,6GB RAM,Used,No,Kandy,1 week ago,"Rs. 32,700"
Oppo Oppo F19 32GB,Oppo,Oppo F19,32GB,2GB RAM,Used,No,Hambantota,3 weeks ago,"Rs. 18,000"
Apple iPhone XS Max 512GB,Apple,iPhone XS Max,512GB,12GB RAM,Used,No,Colombo,Yesterday,"Rs. 225,100"
Vivo Vivo Y75 64GB,Vivo,Vivo Y75,64GB,4GB RAM,Used,No,Gampaha,"Dec 24, 2025","Rs. 77,800"
Realme Realme Narzo 50 128GB,Realme,Realme Narzo 50,128GB,4GB RAM,Used,No,Colombo,2 weeks ago,"Rs. 30,400"
Apple iPhone XR 256GB (Warranty),Apple,iPhone XR,256GB,16GB RAM,Used,Yes,Colombo,"Feb 22, 2025","Rs. 308,400"
Oneplus OnePlus 10 Pro 512GB (Warranty),Oneplus,OnePlus 10 Pro,512GB,12GB RAM,Used,Yes,Gampaha,1 week ago,"Rs. 214,800"
Apple iPhone XR 128GB,Apple,iPhone XR,128GB,4GB RAM,Used,No,Kandy,"Feb 22, 2025","Rs. 279,300"
Samsung Galaxy A12 128GB,Samsung,Galaxy A12,128GB,6GB RAM,Used,No,Mannar,"Jan 23, 2026","Rs. 194,100"
Realme Realme 8 128GB,Realme,Realme 8,128GB,4GB RAM,Like New,No,Kandy,Today,"Rs. 52,200"
Nokia Nokia G20 64GB (Warranty),Nokia,Nokia G20,64GB,4GB RAM,Used,Yes,Anuradhapura,"Nov 24, 2025","Rs. 16,000"
Other Infinix Hot 12 32GB,Other,Infinix Hot 12,32GB,4GB RAM,Used,No,Vavuniya,6 days ago,"Rs. 34,200"
Samsung Galaxy S22 512GB,Samsung,Galaxy S22,512GB,6GB RAM,Used,No,Gampaha,"Jan 23, 2026","Rs. 229,000"
Oppo Oppo A74 64GB,Oppo,Oppo A74,64GB,4GB RAM,Used,No,Gampaha,"Aug 26, 2025","Rs. 53,900"
Apple iPhone 14 Pro 64GB,Apple,iPhone 14 Pro,64GB,4GB RAM,Used,No,Anuradhapura,2 weeks ago,"Rs. 155,200"
Huawei Huawei P40 Lite 32GB,Huawei,Huawei P40 Lite,32GB,3GB RAM,Used,No,Nuwara Eliya,"Nov 24, 2025","Rs. 93,000"
Samsung Galaxy A13 128GB (Warranty),Samsung,Galaxy A13,128GB,4GB RAM,Used,Yes,Kalutara,2 weeks ago,"Rs. 32,600"
Huawei Huawei P30 32GB,Huawei,Huawei P30,32GB,2GB RAM,New,No,Kurunegala,"Nov 24, 2025","Rs. 119,900"
Oppo Oppo F19 32GB (Warranty),Oppo,Oppo F19,32GB,3GB RAM,Used,Yes,Colombo,5 days ago,"Rs. 27,700"
Samsung Galaxy M12 128GB (Warranty),Samsung,Galaxy M12,128GB,3GB RAM,Used,Yes,Vavuniya,"Nov 24, 2025","Rs. 175,300"
Samsung Galaxy A32 32GB,Samsung,Galaxy A32,32GB,3GB RAM,Used,No,Colombo,3 weeks ago,"Rs. 185,900"
Apple iPhone 14 Pro 128GB (Warranty),Apple,iPhone 14 Pro,128GB,3GB RAM,Used,Yes,Gampaha,"Jan 23, 2026","Rs. 236,100"
Oppo Oppo A54 128GB (Warranty),Oppo,Oppo A54,128GB,6GB RAM,Used,Yes,Badulla,4 days ago,"Rs. 91,600"
Samsung Galaxy M12 64GB,Samsung,Galaxy M12,64GB,4GB RAM,Used,No,Kalutara,"Nov 24, 2025","Rs. 123,400"
Realme Realme 9 32GB,Realme,Realme 9,32GB,2GB RAM,Used,No,Gampaha,"Dec 24, 2025","Rs. 57,300"
Motorola Moto G60 128GB (Warranty),Motorola,Moto G60,128GB,6GB RAM,Used,Yes,Gampaha,"Nov 24, 2025","Rs. 46,500"
Samsung Galaxy M32 128GB,Samsung,Galaxy M32,128GB,4GB RAM,Used,No,Badulla,"Jan 23, 2026","Rs. 143,300"
Realme Realme GT Neo 2 64GB,Realme,Realme GT Neo 2,64GB,4GB RAM,New,No,Kalutara,3 weeks ago,"Rs. 81,200"
Xiaomi Poco M4 Pro 64GB,Xiaomi,Poco M4 Pro,64GB,4GB RAM,New,No,Ratnapura,2 weeks ago,"Rs. 34,000"
Apple iPhone 12 128GB,Apple,iPhone 12,128GB,6GB RAM,Used,No,Trincomalee,"Aug 26, 2025","Rs. 317,400"
Apple iPhone 12 Pro 256GB (Warranty),Apple,iPhone 12 Pro,256GB,8GB RAM,New,Yes,Colombo,6 days ago,"Rs. 164,500"
Samsung Galaxy M12 256GB,Samsung,Galaxy M12,256GB,16GB RAM,Used,No,Kalutara,"Feb 22, 2025","Rs. 158,200"
Apple iPhone 13 Pro 128GB (Warranty),Apple,iPhone 13 Pro,128GB,6GB RAM,Used,Yes,Kandy,3 weeks ago,"Rs. 383,200"
Oneplus OnePlus 9 128GB,Oneplus,OnePlus 9,128GB,6GB RAM,Like New,No,Kalutara,"Jan 23, 2026","Rs. 68,100"
Apple iPhone 15 512GB,Apple,iPhone 15,512GB,12GB RAM,Used,No,Colombo,"Nov 24, 2025","Rs. 277,800"
Nokia Nokia G20 128GB,Nokia,Nokia G20,128GB,6GB RAM,Like New,No,Colombo,3 weeks ago,"Rs. 20,100"
Xiaomi Redmi Note 10 128GB (Warranty),Xiaomi,Redmi Note 10,128GB,4GB RAM,Used,Yes,Kegalle,6 days ago,"Rs. 121,600"
Oneplus OnePlus 9 256GB,Oneplus,OnePlus 9,256GB,6GB RAM,Used,No,Gampaha,"Jan 23, 2026","Rs. 164,800"
Motorola Moto E40 256GB,Motorola,Moto E40,256GB,16GB RAM,Used,No,Kandy,4 days ago,"Rs. 82,800"
Realme Realme C25 256GB,Realme,Realme C25,256GB,8GB RAM,Like New,No,Colombo,"Feb 22, 2025","Rs. 94,800"
Oppo Oppo F19 128GB,Oppo,Oppo F19,128GB,4GB RAM,Used,No,Jaffna,"Aug 26, 2025","Rs. 89,500"
Vivo Vivo Y20 32GB,Vivo,Vivo Y20,32GB,3GB RAM,Used,No,Gampaha,"Nov 24, 2025","Rs. 77,100"
Apple iPhone 11 64GB,Apple,iPhone 11,64GB,6GB RAM,Used,No,Kalutara,"Dec 24, 2025","Rs. 69,600"
Samsung Galaxy A52 128GB,Samsung,Galaxy A52,128GB,4GB RAM,Used,No,Nuwara Eliya,"Feb 22, 2025","Rs. 98,600"
Apple iPhone 14 Pro 256GB,Apple,iPhone 14 Pro,256GB,6GB RAM,Used,No,Kalutara,"Dec 24, 2025","Rs. 375,900"
Realme Realme GT Neo 2 64GB,Realme,Realme GT Neo 2,64GB,3GB RAM,Used,No,Gampaha,1 week ago,"Rs. 49,600"
Motorola Moto G62 64GB,Motorola,Moto G62,64GB,4GB RAM,Used,No,Colombo,"Aug 26, 2025","Rs. 21,300"
Motorola Moto G60 128GB,Motorola,Moto G60,128GB,4GB RAM,Used,No,Polonnaruwa,6 days ago,"Rs. 61,600"
Samsung Galaxy A23 128GB (Warranty),Samsung,Galaxy A23,128GB,3GB RAM,New,Yes,Ratnapura,1 week ago,"Rs. 139,400"
Samsung Galaxy M32 128GB (Warranty),Samsung,Galaxy M32,128GB,3GB RAM,Like New,Yes,Colombo,6 days ago,"Rs. 210,500"
Vivo Vivo Y20 32GB,Vivo,Vivo Y20,32GB,4GB RAM,Used,No,Gampaha,"Feb 22, 2025","Rs. 16,300"
Apple iPhone 14 Pro 128GB,Apple,iPhone 14 Pro,128GB,3GB RAM,Used,No,Kandy,Today,"Rs. 168,700"
Xiaomi Mi 11 Lite 256GB,Xiaomi,Mi 11 Lite,256GB,16GB RAM,Like New,No,Ampara,6 days ago,"Rs. 170,500"
Vivo Vivo Y75 128GB (Warranty),Vivo,Vivo Y75,128GB,4GB RAM,Like New,Yes,Colombo,2 days ago,"Rs. 72,800"
Vivo Vivo V21 64GB,Vivo,Vivo V21,64GB,8GB RAM,Used,No,Matara,"Nov 24, 2025","Rs. 38,800"
Other Infinix Hot 12 16GB (Warranty),Other,Infinix Hot 12,16GB,2GB RAM,Like New,Yes,Colombo,6 days ago,"Rs. 33,500"
Samsung Galaxy S22 32GB,Samsung,Galaxy S22,32GB,2GB RAM,Used,No,Badulla,"Nov 24, 2025","Rs. 22,600"
Nokia Nokia G21 128GB,Nokia,Nokia G21,128GB,3GB RAM,Used,No,Gampaha,"Dec 24, 2025","Rs. 35,700"
Samsung Galaxy A13 256GB,Samsung,Galaxy A13,256GB,6GB RAM,Used,No,Colombo,4 days ago,"Rs. 241,300"
Apple iPhone XS Max 128GB,Apple,iPhone XS Max,128GB,6GB RAM,Used,No,Badulla,4 days ago,"Rs. 280,000"
Huawei Huawei Y7a 32GB (Warranty),Huawei,Huawei Y7a,32GB,3GB RAM,Used,Yes,Gampaha,6 days ago,"Rs. 119,300"
Vivo Vivo Y75 64GB,Vivo,Vivo Y75,64GB,3GB RAM,Used,No,Colombo,5 days ago,"Rs. 56,900"
Realme Realme GT Neo 2 128GB,Realme,Realme GT Neo 2,128GB,6GB RAM,Like New,No,Gampaha,"Nov 24, 2025","Rs. 44,900"
Huawei Huawei Y7a 128GB (Warranty),Huawei,Huawei Y7a,128GB,3GB RAM,Used,Yes,Kegalle,Today,"Rs. 134,400"
Realme Realme Narzo 50 128GB (Warranty),Realme,Realme Narzo 50,128GB,6GB RAM,Like New,Yes,Vavuniya,2 weeks ago,"Rs. 77,300"
Vivo Vivo V21 32GB,Vivo,Vivo V21,32GB,2GB RAM,New,No,Galle,"Jan 23, 2026","Rs. 74,700"
Samsung Galaxy M32 64GB,Samsung,Galaxy M32,64GB,6GB RAM,Like New,No,Badulla,3 weeks ago,"Rs. 133,000"
Sony Sony Xperia 1 III 128GB,Sony,Sony Xperia 1 III,128GB,6GB RAM,Used,No,Jaffna,2 days ago,"Rs. 68,000"
Vivo Vivo Y53s 64GB (Warranty),Vivo,Vivo Y53s,64GB,4GB RAM,Used,Yes,Badulla,"Jan 23, 2026","Rs. 51,300"
Realme Realme 9 256GB,Realme,Realme 9,256GB,6GB RAM,New,No,Anuradhapura,"Jan 23, 2026","Rs. 121,200"
Samsung Galaxy A32 64GB,Samsung,Galaxy A32,64GB,4GB RAM,New,No,Badulla,"Nov 24, 2025","Rs. 341,500"
Apple iPhone 13 Pro 256GB,Apple,iPhone 13 Pro,256GB,12GB RAM,Used,No,Polonnaruwa,"Nov 24, 2025","Rs. 91,600"
Apple iPhone 12 64GB (Warranty),Apple,iPhone 12,64GB,6GB RAM,New,Yes,Gampaha,2 weeks ago,"Rs. 408,100"
Motorola Moto G62 128GB,Motorola,Moto G62,128GB,6GB RAM,New,No,Jaffna,2 weeks ago,"Rs. 62,800"
Samsung Galaxy S23 128GB (Warranty),Samsung,Galaxy S23,128GB,4GB RAM,Like New,Yes,Jaffna,"Dec 24, 2025","Rs. 246,700"
Apple iPhone 11 128GB,Apple,iPhone 11,128GB,4GB RAM,Used,No,Kandy,3 weeks ago,"Rs. 258,600"
Oneplus OnePlus 9 128GB,Oneplus,OnePlus 9,128GB,4GB RAM,Used,No,Galle,3 weeks ago,"Rs. 213,400"
Vivo Vivo Y21s 32GB (Warranty),Vivo,Vivo Y21s,32GB,4GB RAM,Like New,Yes,Kandy,1 week ago,"Rs. 111,800"
Samsung Galaxy S21 64GB,Samsung,Galaxy S21,64GB,3GB RAM,Used,No,Hambantota,1 week ago,"Rs. 248,800"
Sony Sony Xperia 5 III 128GB,Sony,Sony Xperia 5 III,128GB,3GB RAM,Used,No,Colombo,"Jan 23, 2026","Rs. 28,500"
Motorola Moto G60 32GB,Motorola,Moto G60,32GB,4GB RAM,Used,No,Matale,"Jan 23, 2026","Rs. 42,700"
Samsung Galaxy A32 128GB (Warranty),Samsung,Galaxy A32,128GB,8GB RAM,Used,Yes,Kandy,Yesterday,"Rs. 69,400"
Samsung Galaxy M12 64GB (Warranty),Samsung,Galaxy M12,64GB,4GB RAM,Used,Yes,Jaffna,1 week ago,"Rs. 150,300"
Xiaomi Redmi Note 11 128GB,Xiaomi,Redmi Note 11,128GB,4GB RAM,New,No,Vavuniya,"Nov 24, 2025","Rs. 89,400"
Nokia Nokia G20 256GB,Nokia,Nokia G20,256GB,8GB RAM,Used,No,Hambantota,5 days ago,"Rs. 19,700"
Apple iPhone SE 128GB (Warranty),Apple,iPhone SE,128GB,3GB RAM,Like New,Yes,Monaragala,"Dec 24, 2025","Rs. 102,300"
Apple iPhone X 256GB,Apple,iPhone X,256GB,12GB RAM,Used,No,Ratnapura,"Dec 24, 2025","Rs. 169,500"
Oneplus OnePlus Nord CE 256GB,Oneplus,OnePlus Nord CE,256GB,12GB RAM,Used,No,Badulla,"Jan 23, 2026","Rs. 173,200"
Samsung Galaxy A53 64GB,Samsung,Galaxy A53,64GB,6GB RAM,Like New,No,Mannar,1 week ago,"Rs. 246,600"
Samsung Galaxy A32 128GB (Warranty),Samsung,Galaxy A32,128GB,4GB RAM,Used,Yes,Puttalam,"Aug 26, 2025","Rs. 181,900"
Oppo Oppo A54 64GB (Warranty),Oppo,Oppo A54,64GB,4GB RAM,Like New,Yes,Colombo,"Nov 24, 2025","Rs. 51,600"
Huawei Huawei Nova 5T 64GB,Huawei,Huawei Nova 5T,64GB,3GB RAM,Used,No,Badulla,Today,"Rs. 89,600"
Samsung Galaxy A52 128GB (Warranty),Samsung,Galaxy A52,128GB,6GB RAM,Used,Yes,Ratnapura,2 days ago,"Rs. 182,700"
Samsung Galaxy M32 128GB,Samsung,Galaxy M32,128GB,4GB RAM,Like New,No,Colombo,5 days ago,"Rs. 210,700"
Other Tecno Spark 8 128GB (Warranty),Other,Tecno Spark 8,128GB,4GB RAM,Like New,Yes,Gampaha,5 days ago,"Rs. 61,800"
Apple iPhone X 64GB,Apple,iPhone X,64GB,4GB RAM,Used,No,Gampaha,5 days ago,"Rs. 307,300"
Samsung Galaxy A72 128GB,Samsung,Galaxy A72,128GB,6GB RAM,Used,No,Ampara,"Aug 26, 2025","Rs. 240,100"
